x,y,theta
0.0,0.0,1.1253388328842984
0.01,0.020940889078561845,1.125168252223126
0.02,0.041863416151251,1.1246562280701937
0.03,0.06274926749550937,1.1238019142024769
0.04,0.08358022572974529,1.1226039012151658
0.049999999999999996,0.1043382174211052,1.1210602180287412
0.06,0.1250053600220253,1.119168334112892
0.06999999999999999,0.14556400791850777,1.116925162542555
0.08,0.16599679737872194,1.1143270640360778
0.09,0.18628669019750407,1.111369852161461
0.09999999999999999,0.20641701584056488,1.1080487999340416
0.10999999999999999,0.22637151190163746,1.1043586480679366
0.12,0.24613436269632763,1.100293615184095
0.13,0.26569023582797785,1.0958474103198848
0.13999999999999999,0.28502431657332433,1.0910132481284813
0.15,0.30412233994900895,1.0857838672006344
0.16,0.32297062033400026,1.080151551986003
0.16999999999999998,0.3415560785375529,1.0741081588354062
0.18,0.35986626621739326,1.0676451467278258
0.18999999999999997,0.3778893875682225,1.0607536132854238
0.19999999999999998,0.3956143182162682,1.0534243367142184
0.21,0.4130306212713715,1.0456478243351304
0.21999999999999997,0.4301285605038412,1.0374143683869577
0.23,0.4468991106289363,1.0287141097860604
0.24,0.4633339646972348,1.0195371105131745
0.25,0.479425538604203,1.0098734352612218
0.26,0.49516697274690014,0.9997132429141885
0.27,0.5105521308698406,0.9890468883305176
0.27999999999999997,0.5255755961555032,0.9778650347692013
0.29,0.5402326646277501,0.9661587771169604
0.3,0.5545193359484235,0.9539197758449639
0.31,0.5684323016985641,0.9411404013386279
0.32,0.5819689312460026,0.9278138879005984
0.33,0.5951272553104515,0.9139344963235515
0.33999999999999997,0.6079059473456588,0.8994976834672707
0.35000000000000003,0.6203043028656428,0.8845002767585959
0.36,0.6323222168484964,0.8689406509729868
0.37,0.643960159356737,0.8528189040676855
0.37999999999999995,0.6552191495176637,0.8361370282401503
0.39,0.6661007280107231,0.8188990718092822
0.39999999999999997,0.6766069282114487,0.8011112869951926
0.41,0.6867402461432004,0.7827822582456148
0.42,0.6965036093886946,0.7639230054674464
0.43,0.7059003451132457,0.7445470564158353
0.43999999999999995,0.7149341473507587,0.7246704826146395
0.44999999999999996,0.7236090437019012,0.7043118935691708
0.46,0.7319293615915641,0.6834923847128115
0.47,0.7398996942297832,0.6622354355162162
0.48,0.7475248664167721,0.6405667554749999
0.49,0.7548099003286893,0.6185140772501316
0.5,0.7617599814162893,0.5961068980118311
0.51,0.7683804245437371,0.5733761719565652
0.52,0.7746766404896901,0.5503539589319363
0.5299999999999999,0.7806541029272894,0.5270730360063944
0.54,0.7863183159940597,0.5035664805448354
0.5499999999999999,0.7916747825569065,0.479867234786773
0.5599999999999999,0.7967289732715116,0.45600766297493195
0.57,0.8014862965294776,0.43201911267673426
0.58,0.8059520693806471,0.4079314920382846
0.59,0.810131489512118,0.3837728743044701
0.6,0.8140296083596739,0.35956914005962176
0.61,0.8176513054216521,0.33534366635329893
0.62,0.8210012638397259,0.3111170702632599
0.63,0.8240839473056971,0.28690701261755475
0.64,0.8269035783482086,0.26272806566144274
0.6499999999999999,0.8294641180482974,0.2385916465206537
0.66,0.8317692472279383,0.2145060164762449
0.67,0.833822349151173,0.19047634440493266
0.6799999999999999,0.8356264937730853,0.16650483130631719
0.69,0.8371844235677586,0.14259089166453626
0.7000000000000001,0.8384985409624496,0.11873138648298784
0.71,0.8395708974014858,0.0949209021731879
0.72,0.8404031840598705,0.07115206904300803
0.7299999999999999,0.8409967242232064,0.047415912875439024
0.74,0.8413524673473235,0.023702232971092287
0.75,0.8414709848078965,6.929091410325648e-17
0.7599999999999999,0.8413524673473235,-0.023702232971092144
0.77,0.8409967242232064,-0.04741591287543889
0.78,0.8404031840598705,-0.07115206904300789
0.7899999999999999,0.8395708974014858,-0.09492090217318777
0.7999999999999999,0.8384985409624497,-0.11873138648298767
0.81,0.8371844235677586,-0.14259089166453615
0.82,0.8356264937730853,-0.16650483130631707
0.83,0.8338223491511731,-0.1904763444049325
0.84,0.8317692472279383,-0.21450601647624473
0.85,0.8294641180482974,-0.2385916465206536
0.86,0.8269035783482087,-0.2627280656614426
0.87,0.8240839473056971,-0.28690701261755464
0.8799999999999999,0.8210012638397259,-0.3111170702632598
0.89,0.8176513054216521,-0.33534366635329876
0.8999999999999999,0.814029608359674,-0.3595691400596216
0.9099999999999999,0.8101314895121181,-0.3837728743044699
0.92,0.8059520693806471,-0.40793149203828455
