x,y,theta
0.0,0.0,1.0038848218538872
0.0033333333333333335,0.005235796365509883,1.0038351416799973
0.006666666666666667,0.010470444539280923,1.0036860873284494
0.010000000000000002,0.015702797084883886,1.0034376173302444
0.013333333333333334,0.0209317080756255,1.0030896626392454
0.016666666666666666,0.02615603384720969,1.0026421267357393
0.020000000000000004,0.031374633747754684,1.0020948857719603
0.023333333333333334,0.03658637088429122,1.0014477887601088
0.02666666666666667,0.04179011286487264,1.000700657803559
0.03,0.04698473253543493,0.9998532883720871
0.03333333333333333,0.0521691087105526,0.9989054496221124
0.03666666666666667,0.057342126897246846,0.9978568847630853
0.04000000000000001,0.06250268001101265,0.9967073114713046
0.043333333333333335,0.0676496690832445,0.9954564223525841
0.04666666666666667,0.07278200395925388,0.9941038854553397
0.05,0.07789860398608607,0.9926493448357906
0.05333333333333334,0.08299839868936097,0.9910924211771162
0.05666666666666667,0.08808032843837907,0.9894327124645218
0.06,0.09314334509875204,0.9876697947183057
0.06333333333333334,0.09818641267183831,0.9858032227871201
0.06666666666666667,0.10320850792028244,0.9838325312037418
0.06999999999999999,0.10820862097898105,0.9817572351057574
0.07333333333333333,0.11318575595081873,0.9795768312236658
0.07666666666666667,0.11813893148654202,0.9772907989389804
0.08000000000000002,0.12306718134816381,0.97489860141498
0.08333333333333334,0.1279695549553153,0.9723996868028139
0.08666666666666667,0.13284511791398892,0.9697934895257069
0.09000000000000001,0.13769295252714253,0.9670794316440338
0.09333333333333334,0.14251215828666217,0.9642569243040365
0.09666666666666668,0.14730185234620896,0.9613253692729412
0.1,0.15206116997450447,0.9582841605631954
0.10333333333333335,0.15678926498863668,0.9551326861484826
0.10666666666666667,0.1614853101670001,0.9518703297740766
0.11000000000000001,0.166148497641512,0.9484964728639846
0.11333333333333334,0.17077803926877644,0.9450104965271703
0.11666666666666668,0.1753731669799009,0.9414117836649605
0.12,0.17993313310869663,0.9376997211815219
0.12333333333333335,0.18445721069802892,0.9338737022990189
0.12666666666666668,0.18894469378411125,0.9299331289787637
0.13,0.19339489765856968,0.9258774144493143
0.13333333333333333,0.1978071591081341,0.921705985842072
0.1366666666666667,0.2021808366318439,0.9174182869344826
0.13999999999999999,0.20651531063568576,0.9130137810004358
0.14333333333333334,0.21080998360461242,0.9084919537668973
0.14666666666666667,0.2150642802519206,0.9038523164751923
0.15000000000000002,0.21927764764599678,0.8990944090446793
0.15333333333333335,0.22344955531446814,0.8942178033358182
0.15666666666666668,0.22757949532582608,0.889222106508834
0.16000000000000003,0.23166698234861743,0.8841069644733254
0.16333333333333333,0.23571155368832666,0.8788720654232425
0.16666666666666669,0.2397127693021015,0.873517143450679
0.17,0.24367021179149773,0.8680419822308894
0.17333333333333334,0.24758348637345007,0.8624464187698501
0.17666666666666667,0.25145222082969787,0.8567303472045391
0.18000000000000002,0.2552760654349203,0.8508937226449266
0.18333333333333335,0.2590546928638623,0.8449365650454344
0.18666666666666668,0.2627877980777516,0.8388589630923718
0.19,0.2664750981903342,0.8326610780925674
0.19333333333333336,0.27011633231387505,0.826343147847123
0.19666666666666666,0.27371126138549207,0.8199054904929227
0.2,0.27725966797421175,0.8133485082932402
0.20333333333333334,0.2807613560691558,0.806672691357533
0.2066666666666667,0.28421615084928203,0.7998786212692938
0.21000000000000002,0.28762389843512604,0.7929669745996731
0.21333333333333335,0.2909844656230013,0.7859385262835015
0.21666666666666667,0.2942977396021344,0.7787941528333648
0.22000000000000003,0.29756362765522576,0.7715348353665122
0.22333333333333336,0.30078205684293774,0.7641616624186488
0.22666666666666668,0.3039529736728294,0.7566758325180984
0.22999999999999998,0.3070763437532627,0.7490786564934333
0.23333333333333336,0.3101521514328214,0.7413715594874756
0.2366666666666667,0.3131803994257896,0.7335560826506169
0.24,0.3161611084242482,0.7256338844866809
0.24333333333333332,0.3190943166973532,0.7176067418250822
0.2466666666666667,0.3219800796783685,0.7094765503938631
0.25,0.3248184695400312,0.7012453249692766
0.25333333333333335,0.32760957475883185,0.6929151990789967
0.2566666666666667,0.33035349966879646,0.6844884242377428
0.26,0.33305036400536153,0.6759673686961221
0.26333333333333336,0.3357003024399329,0.6673545156858193
0.26666666666666666,0.33830346410572437,0.6586524611468968
0.27,0.34086001211546935,0.6498639109258851
0.2733333333333334,0.3433701230716002,0.6409916774365397
0.27666666666666667,0.3458339865694902,0.6320386757785904
0.27999999999999997,0.3482518046943473,0.6230079193134923
0.2833333333333334,0.350623791512352,0.6139025147000517
0.2866666666666667,0.3529501725566228,0.6047256563968401
0.29,0.35523118430859363,0.5954806206424558
0.29333333333333333,0.3574670736753793,0.5861707589289167
0.2966666666666667,0.3596580974637029,0.5767994909877134
0.30000000000000004,0.3618045218509505,0.5673702973122677
0.30333333333333334,0.3639066218539152,0.5578867112446826
0.3066666666666667,0.365964680795782,0.5483523106586685
0.31000000000000005,0.36797898977190197,0.5387707092743436
0.31333333333333335,0.36994984711489154,0.5291455476441769
0.31666666666666665,0.3718775578595888,0.5194804838526187
0.32000000000000006,0.373762433208386,0.5097791839749024
0.32333333333333336,0.3756047899974518,0.5000453123430514
0.32666666666666666,0.3774049501643446,0.49028252166925806
0.33,0.37916324021751013,0.4804944430784807
0.33333333333333337,0.3808799907081446,0.4706846761033062
0.33666666666666667,0.3825555357048966,0.46085677869482095
0.34,0.3841902122718685,0.451014257303436
0.3433333333333333,0.3857843599503674,0.44116055708330304
0.3466666666666667,0.38733832024484505,0.43129905227313003
0.35000000000000003,0.3888524361134551,0.4214330368049113
0.35333333333333333,0.3903270514636447,0.41156571519031054
0.3566666666666667,0.39176251065318396,0.40170019373222143
0.36000000000000004,0.3931591579970298,0.3918394721064117
0.36333333333333334,0.3945173372804032,0.38198643535517807
0.3666666666666667,0.39583739127845324,0.3721438463316314
0.37000000000000005,0.3971196612828644,0.3623143386296611
0.37333333333333335,0.39836448663575574,0.3525004100308395
0.3766666666666667,0.3995722042712076,0.34270441649555283
0.38,0.4007431482647387,0.3329285667215969
0.38333333333333336,0.4018776493910486,0.3231749172893262
0.3866666666666667,0.4029760346903235,0.3134453684083184
0.39,0.40403862704339966,0.30374166027641697
0.3933333333333333,0.405065744756059,0.29406537005802
0.3966666666666667,0.4060577011527283,0.28441790948459617
0.4,0.40701480417983693,0.2748005230767211
0.4033333333333333,0.40793735601908054,0.2652142869834251
0.4066666666666667,0.40882565271082605,0.2556601084313777
0.41,0.4096799837878839,0.24613872577343185
0.4133333333333334,0.4105006319198629,0.23665070912331315
0.41666666666666674,0.41128787256831234,0.22719646156079826
0.42000000000000004,0.41204197365284856,0.21777622088956458
0.42333333333333334,0.4127631952284509,0.20839006192805207
0.4266666666666667,0.4134517891741043,0.19903789931210183
0.43,0.41410799889295663,0.18971949078687358
0.43333333333333335,0.4147320590241487,0.18043444096454564
0.43666666666666665,0.41532419516646835,0.17118220552356642
0.44000000000000006,0.4158846236139691,0.16196209582475185
0.44333333333333336,0.41641355110368794,0.15277328391926404
0.4466666666666667,0.4169111745755865,0.14361480792346298
0.45,0.41737768094483424,0.1344855777357724
0.45333333333333337,0.41781324688654264,0.12538438107099859
0.45666666666666667,0.41821803863305407,0.11630988978799559
0.45999999999999996,0.4185922117838793,0.10726066648713348
0.4633333333333334,0.4189359111283724,0.09823517135468107
0.46666666666666673,0.4192492704812248,0.08923176923195035
