odom_x, odom_y, odom_theta, odom_vx, odom_vy, odom_om
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.493969953045271109e-06,-3.737994650855507812e-08,-8.471727080646474547e-05,2.627435277912017217e-08,-1.553733664364304192e-08,-1.730792491652617696e-06
1.717902378015297225e-04,-1.148751209198862853e-06,-2.412240129400068309e-03,1.856394530778117060e-06,-3.173186956125411774e-06,-5.157231461770364807e-05
3.660600378096578317e-04,-4.074547688509975559e-06,-7.606280465239595098e-03,2.363847097606442923e-04,-3.384449947916084777e-05,-5.726766857511822288e-03
5.393878458273225745e-04,-9.335795246421843113e-06,-1.528359699922062984e-02,1.811377610388833310e-03,-9.639913671173765716e-05,-4.434733710082821440e-02
1.379294499355319340e-03,-4.493651765076816851e-05,-2.400233264677062786e-02,2.032106522560882256e-03,-4.084919270559177391e-04,-4.458768168872235399e-02
2.975908309738972950e-03,-1.258670848796415026e-04,-3.372557473435443959e-02,2.345606337064666189e-03,-8.792006991971756469e-04,-4.492856174612859521e-02
5.103694067060004017e-03,-2.636288464875425133e-04,-4.353786719491845730e-02,3.163889381962847660e-03,-2.247429350757789140e-03,-4.534992757664285667e-02
8.014408047433212515e-03,-4.720834988742333049e-04,-5.318554506529335479e-02,3.841463574435358044e-03,-3.584753451807859339e-03,-4.584090866299225103e-02
1.185592861557423390e-02,-8.243650741061884970e-04,-6.264574794495954280e-02,5.742979478586310825e-03,-7.893082643649964106e-03,-4.641916921875868102e-02
1.646867412743944700e-02,-1.281280596367445537e-03,-7.256327512604142382e-02,8.086999771187410035e-03,-1.259791760933777829e-02,-4.710804660195444526e-02
2.108038441644570493e-02,-1.740532225609554839e-03,-8.262277405275582354e-02,9.726473362223641075e-03,-1.523653114092432016e-02,-4.786422348950180455e-02
2.588290964343743436e-02,-2.324253633869602289e-03,-9.384156246226249554e-02,1.420867439620072600e-02,-2.061463725723476637e-02,-4.885087091980224588e-02
3.081809935253394112e-02,-2.991138521715520568e-03,-1.064284771545494362e-01,1.878737524899956254e-02,-2.590146937218460246e-02,-5.008459410104950521e-02
3.570404598136477092e-02,-3.701583800133268713e-03,-1.195356620833700617e-01,2.312968780964303958e-02,-2.965555950581337877e-02,-5.149046573067276450e-02
4.113728445920038918e-02,-4.565281069546230780e-03,-1.338302310967198483e-01,2.674001343064591821e-02,-3.230724746947405412e-02,-5.316914868215026624e-02
4.653145684160960721e-02,-5.540270813214624029e-03,-1.494888463571928672e-01,3.335013806385915547e-02,-3.741498838419287515e-02,-5.516242454456283389e-02
5.194540669015690337e-02,-6.580041849131404962e-03,-1.650491857796503870e-01,3.746246278792228490e-02,-3.993359643415340943e-02,-5.726699975486227584e-02
5.724586489650795168e-02,-7.685081813464752012e-03,-1.805718084344923868e-01,4.314847833580413849e-02,-4.284626211935389090e-02,-5.949321082921459752e-02
6.232480189485554989e-02,-8.805649791059109305e-03,-1.962860748908074604e-01,4.617881001689864984e-02,-4.379517785789345530e-02,-6.187420437155253389e-02
6.789149028479900261e-02,-1.018070359375193579e-02,-2.121346281885227725e-01,5.397966036051941863e-02,-4.865932853828568161e-02,-6.439911123128677639e-02
7.299640245611146994e-02,-1.147314475817714195e-02,-2.274656610992418782e-01,5.701872904739847120e-02,-4.958174929690548766e-02,-6.693987634025355682e-02
7.835634252507817088e-02,-1.301274415487205065e-02,-2.429610919336500641e-01,7.122219100218377119e-02,-5.773571031031535239e-02,-6.962296382168850495e-02
8.340397804529126047e-02,-1.446291095296256719e-02,-2.586732431623182116e-01,7.429016688803966040e-02,-5.841146612045021447e-02,-7.245689758733783736e-02
8.898841000276555557e-02,-1.643011916884449045e-02,-2.738546498161857357e-01,1.468304352936385393e-01,-8.200838137697881447e-02,-7.527587102149975451e-02
9.428720189117023587e-02,-1.817393872782396141e-02,-2.900037984531317337e-01,1.492871942513985251e-01,-8.309202327017710388e-02,-7.841496967251661288e-02
9.912489311454925067e-02,-1.983923352914778587e-02,-3.055328462520320310e-01,1.518908890692982627e-01,-8.425749173465825470e-02,-8.150301918409021129e-02
1.040484970172554785e-01,-2.162298205452850910e-02,-3.218193014879913161e-01,1.544177236987935020e-01,-8.526719730647641660e-02,-8.486462910056433162e-02
1.087152199172891909e-01,-2.339112953292510344e-02,-3.373117201997948844e-01,1.573610177147093947e-01,-8.631186103003342380e-02,-8.811049188093754425e-02
1.134082044641534087e-01,-2.524985196046493352e-02,-3.525969819794526061e-01,1.597831750098052395e-01,-8.723409543265589483e-02,-9.138152957803157006e-02
1.184180581990735420e-01,-2.732574346295611051e-02,-3.685626424920491750e-01,1.621935247486112064e-01,-8.817933456355166177e-02,-9.490804124325540048e-02
1.231767641376328298e-01,-2.938322187758556428e-02,-3.840614493281007680e-01,1.649785736025659588e-01,-8.912787542609421076e-02,-9.837632711531303642e-02
1.280157804536051214e-01,-3.156848181937912251e-02,-4.000256756419141024e-01,1.682365539082336658e-01,-9.025002466927553590e-02,-1.020447044787105018e-01
1.326622114011621612e-01,-3.377595229609502148e-02,-4.162852561947912311e-01,1.704910881498273856e-01,-9.093970550235144779e-02,-1.058700111031403990e-01
1.374265792268666297e-01,-3.612172577651358296e-02,-4.320538947534345309e-01,1.725134373756007367e-01,-9.167541147242885824e-02,-1.096014898062302734e-01
1.419959302599333173e-01,-3.844142462152051742e-02,-4.533831549289875640e-01,1.666107390708452540e-01,-9.290509990021074416e-02,-2.212321842013846296e-01
1.467592350348571884e-01,-4.098185232289753427e-02,-4.769401080142974259e-01,1.606143048479615754e-01,-9.406789099304271873e-02,-3.679479543206448100e-01
1.516069444840260627e-01,-4.363642701290416925e-02,-4.947883409639666219e-01,1.633268184799822609e-01,-9.484023898064992963e-02,-4.043155359694554640e-01
1.561678611664522043e-01,-4.622136200535329614e-02,-5.110693703800314180e-01,1.641276661598871922e-01,-9.549140873900495430e-02,-4.238251175945686455e-01
1.610771393947188490e-01,-4.910152615930132858e-02,-5.273417330895115995e-01,1.647844333744397649e-01,-9.558180931761529886e-02,-4.348012302228577708e-01
1.657237775330719087e-01,-5.191915144673592275e-02,-5.430945292083798615e-01,1.619112914760899302e-01,-9.577898555224995114e-02,-4.351965604465856119e-01
1.704316950401073560e-01,-5.488960811761941366e-02,-5.573507545451064082e-01,1.633602249016781194e-01,-9.771315730670789013e-02,-4.260759307718653965e-01
1.749952851384946884e-01,-5.781457235420617291e-02,-5.685085884698961589e-01,1.650021200172084312e-01,-9.858769319216081906e-02,-3.868812376872214354e-01
1.793544039553592595e-01,-6.063163371572121568e-02,-5.764494648601675708e-01,1.653347683836758064e-01,-9.866118702367331073e-02,-3.435290805273261139e-01
1.842044619770249470e-01,-6.378288623801857404e-02,-5.826378599007430159e-01,1.669652900685135999e-01,-9.874962738941546470e-02,-3.357289858948289685e-01
1.891128114306830643e-01,-6.697470537417882230e-02,-5.861785467244859937e-01,1.684633672012737227e-01,-9.952132409247796407e-02,-3.354695065432252155e-01
1.944903214512799516e-01,-7.044123632197939189e-02,-5.876863275419510479e-01,1.703726355727118169e-01,-9.958204675446317988e-02,-3.350589667348011780e-01
1.996737756844683409e-01,-7.379940575036654515e-02,-5.885463664738384004e-01,1.702546563408288138e-01,-1.013324412289247772e-01,-3.345250233800455830e-01
2.049582814054647373e-01,-7.718464577777758850e-02,-5.883901452829843892e-01,1.721257385868419920e-01,-1.013561086748855783e-01,-3.338243836453288482e-01
2.117042819742241122e-01,-8.152928611226888111e-02,-5.882911901731919802e-01,1.736687915259425841e-01,-1.033615052951397800e-01,-3.330116371538199838e-01
2.183294122632315482e-01,-8.578608698121090170e-02,-5.887866204660591185e-01,1.759315388271797398e-01,-1.039461339919750815e-01,-3.321320755321935936e-01
2.255421614376999784e-01,-9.050138858747906745e-02,-5.884457704669002753e-01,1.794692006950489860e-01,-1.105398262094623163e-01,-3.310673788225461101e-01
2.323738482046538711e-01,-9.487590109805500715e-02,-5.882025666370381822e-01,1.816001832504889335e-01,-1.107738903083973075e-01,-3.298965031417567806e-01
2.392475235548845724e-01,-9.929871504968891538e-02,-5.880149908860087260e-01,1.834224867936826153e-01,-1.126511808495854888e-01,-3.286187398177242147e-01
2.465457529918521073e-01,-1.039816207590679165e-01,-5.876760348903491415e-01,1.853507065379891294e-01,-1.140226265772084774e-01,-3.272099646306708132e-01
2.533836525159865460e-01,-1.084091528634164026e-01,-5.871208952198838649e-01,1.864040887938338553e-01,-1.183842598009268721e-01,-3.256655595318668772e-01
2.603309973064722449e-01,-1.128554129347207335e-01,-5.869768570642101002e-01,1.883643835292966029e-01,-1.191007832845704661e-01,-3.240672894908694368e-01
2.669470492392942429e-01,-1.171021493523026202e-01,-5.864970681428340882e-01,1.894440821212091119e-01,-1.210752909106616870e-01,-3.222981864540758745e-01
2.735321145077682647e-01,-1.213133751937114924e-01,-5.863162106574104637e-01,1.903602254497880897e-01,-1.218533088614551785e-01,-3.204833874970365315e-01
2.802188150296857083e-01,-1.255829040000963348e-01,-5.824591157346477033e-01,2.116049238129603660e-01,-1.220558281620538615e-01,-2.413775956823535074e-01
2.868048807569820169e-01,-1.298073019165069675e-01,-5.765216031073702174e-01,2.293034204601373527e-01,-1.240576688217844142e-01,-1.278767971019378336e-01
2.927378163285239143e-01,-1.336094806570493898e-01,-5.738843104441400111e-01,2.204126734059333736e-01,-1.258026158055162158e-01,-8.209844132718918663e-02
2.979756378982109100e-01,-1.369254542962520527e-01,-5.719760116520183901e-01,2.067279211824414875e-01,-1.245419627301837806e-01,-5.180311814744014559e-02
3.029965617576046988e-01,-1.401104824387176540e-01,-5.710198450551140503e-01,1.867294604300553107e-01,-1.236177300487740494e-01,-3.850984851667253739e-02
3.076096938055941088e-01,-1.430311117292169809e-01,-5.705096519830720192e-01,1.725491802907734573e-01,-1.220858507373842605e-01,-2.703307576340977653e-02
3.122115169217209441e-01,-1.459466204700863023e-01,-5.693915295537932408e-01,1.677618661071466899e-01,-1.210936047571662399e-01,-1.360169425213764854e-02
3.163592123000412148e-01,-1.485455277693191189e-01,-5.675242954053308919e-01,1.570423980712019330e-01,-1.189392042426909157e-01,4.652710344253676786e-03
3.198891718558793396e-01,-1.507449732806726006e-01,-5.635825541131319616e-01,1.412297360505457844e-01,-1.178711847105246013e-01,3.953219646124450648e-02
3.234206455856173945e-01,-1.528744633381255436e-01,-5.583283151762022944e-01,1.273747219012918153e-01,-1.141812368095894287e-01,6.944404997108162558e-02
3.265575895492063840e-01,-1.547702208110021127e-01,-5.518207657350515660e-01,1.195311722467151117e-01,-1.129965318470611130e-01,1.103468335330307082e-01
3.297957374260189201e-01,-1.566810612362637967e-01,-5.436793186450636917e-01,1.135601872737195261e-01,-1.112748121783813660e-01,1.417550027761565745e-01
3.327330769408636257e-01,-1.583808557183400134e-01,-5.331386946803176041e-01,1.101566531707535018e-01,-1.104422884473310884e-01,1.856588202162241796e-01
3.357372765560905359e-01,-1.600398301915312016e-01,-5.219641381690870441e-01,1.068815611414044991e-01,-1.072892108549584195e-01,2.242124834158308599e-01
3.390316541348217250e-01,-1.618365480420114744e-01,-5.093016673132813033e-01,1.069937737593602417e-01,-1.061890559827378261e-01,2.542395601350367351e-01
3.420840113718397468e-01,-1.634089163112871779e-01,-4.957266998097593080e-01,1.051762301767832086e-01,-1.022977486465136421e-01,2.961408840416083210e-01
3.453074852056914890e-01,-1.650476288723918827e-01,-4.809780124492131215e-01,1.069482267687368732e-01,-1.009502262929389688e-01,3.240626888354879998e-01
3.485359837618728363e-01,-1.666025953914621605e-01,-4.653928630671355093e-01,1.095502716968910495e-01,-9.769004310246838518e-02,3.646128689954952762e-01
3.519689989598447366e-01,-1.682109877885322735e-01,-4.479764898199506962e-01,1.135190661033341764e-01,-9.622348702190679226e-02,4.117108797247865382e-01
3.556411569611619972e-01,-1.698219313408977915e-01,-4.276297973758708681e-01,1.135705789296147933e-01,-9.358598803532575117e-02,4.576657558571244344e-01
3.591990629498782450e-01,-1.713233299759408246e-01,-4.073664715363255473e-01,1.133111276687976121e-01,-9.290780210936717964e-02,4.828888942657207917e-01
3.627998368013067854e-01,-1.727675429061779067e-01,-3.874276502419456425e-01,1.141606208770774983e-01,-9.249409313840251112e-02,5.006339667035103469e-01
3.664373247250239385e-01,-1.741191814508607494e-01,-3.674141845566843423e-01,1.174340010508639204e-01,-9.129187754380695130e-02,5.189259064429909696e-01
3.702063993694341137e-01,-1.754466739619886251e-01,-3.479803666570490117e-01,1.173425008493246963e-01,-8.977900649027295565e-02,5.278921876366644561e-01
3.739526260668973867e-01,-1.767160272979251823e-01,-3.287873849515806635e-01,1.188853164106042637e-01,-8.820528472232140593e-02,5.386429226989651875e-01
3.777767039212090450e-01,-1.779162743270948366e-01,-3.097047340524212711e-01,1.182227176506294997e-01,-8.684429581129671227e-02,5.468650387006376290e-01
3.815625988316478368e-01,-1.790269364511613837e-01,-2.902603058813494341e-01,1.158805150583723381e-01,-8.558543504302167093e-02,5.519237258436221483e-01
3.851139808549520760e-01,-1.799945844325029909e-01,-2.708420130127757730e-01,1.148971642121986297e-01,-8.434261987176337738e-02,5.607391033199435881e-01
3.889567745974719659e-01,-1.809584801052468994e-01,-2.512610958233106873e-01,1.167085327728706601e-01,-8.328010250415676663e-02,5.584995137294437306e-01
3.928392987514919832e-01,-1.818611948580616255e-01,-2.322229528667917042e-01,1.188366952127701826e-01,-8.216042881645653495e-02,5.589494335279563408e-01
3.969034408322059670e-01,-1.827540784319638401e-01,-2.140764395451723867e-01,1.197451156142248785e-01,-8.279899476200225372e-02,5.513219071604480437e-01
4.008056914793620140e-01,-1.835232669313178744e-01,-1.955658951321839478e-01,1.174818068986340086e-01,-8.224218489670016841e-02,5.466532574147446866e-01
4.045367579934766034e-01,-1.841782151128653899e-01,-1.777453721371347883e-01,1.177995664382852081e-01,-8.085184803393515030e-02,5.426311024165154651e-01
4.084990556997124544e-01,-1.847982163078254192e-01,-1.592575704092019373e-01,1.165287703803040836e-01,-7.959387262619047054e-02,5.473449361299889127e-01
4.124665296512964319e-01,-1.853600914093077312e-01,-1.412075881575268754e-01,1.197435098438187767e-01,-7.930375354364960216e-02,5.385099177927329395e-01
4.167267933279726888e-01,-1.858750434085016667e-01,-1.226888544441967488e-01,1.212888126594702104e-01,-7.820310270375072093e-02,5.518617292657189699e-01
